enhancer_id,chromosome,start_position,end_position,enhancer_type,tissue_context,disease_name,target_gene,transcription_factor
E_01_0082,chr7,148804633,148806633,Enhancer,blood,dengue fever,,EZH2
E_01_0083,chr4,108045068,108047068,Enhancer,tumor cell,"Lymphoplasmacytoma, follicular lymphoma",,LEF1
E_01_0084,chr22,39516679,39518679,Enhancer,skeletal muscle | mouse cell of skeletal muscle,Skeletal muscle atrophy,,ATF4
E_01_0085,chr7,148804371,148806371,Enhancer,"Connective tissue, peripheral blood | synovial cell，peripheral blood mononuclear cell，Jurkat T cell",Rheumatoid arthritis,,EZH2
E_01_0086,chr15,88633030,88635030,Enhancer,liver | HepG2，HepG2 NTCP，HepAD38 cell,hepatitis B,ISG20,
E_01_0087,chr9,81581120,81583120,Enhancer,,Soft tissue sarcoma,,TLE1
E_01_0088,chr5,69232027,69234027,Enhancer,bone | SJSA-1 cell，U2-OS cell，HOS cell，G-292 cell，MNNG/HOS cell，143B cell，MG-63 cell，cementoblast,Osteosarcoma,CDK7,
E_01_0089,chr11,113406893,113408893,Enhancer,Peripheral blood | peripheral blood mononuclear cell,Major depressive disorder,DRD2,
E_01_0090,chr9,81580946,81582946,Enhancer,,Synovial sarcoma,,TLE1
E_01_0091,chr4,108044497,108046497,Enhancer,,Acute myeloid leukemia,,LEF1
E_01_0092,chr6,10978082,10980082,Enhancer,liver | HepG2 cell,liver cancer,ELOVL2,
E_01_0093,chr19,19142448,19144448,Enhancer,,Mantle cell lymphoma,MEF2B,
E_01_0094,chr5,51380063,51382063,Enhancer,cardiac muscle cell (sensu Arthopoda),Congenital heart disease,,ISL1
E_01_0095,chr11,306685,308685,Enhancer,bone marrow | hMSC cell,,IFITM1,
E_01_0096,chr22,27745785,27747785,Enhancer,bone marrow | Bone marrow monocytes,Myeloid neoplasms,MN1,
E_01_0097,chr5,1250197,1252197,Enhancer,neuroblastoma cells，SK-N-AS cell,Neuroblastoma,,TERT
E_01_0098,chr14,100776332,100778332,Enhancer,ovarian follicle,Pituitary tumors,MEG3,
E_01_0099,chr19,2974615,2976615,Enhancer,,Infertility,TLE6,
E_01_0100,chr1,6098734,6100734,Enhancer,"Stomach, cervix | AGS cell, KATO III cell, MKN45 cell, NCI-N87 cell, NUGC-3 cell, OCUM‑1 cell,HeLa cell",gastric cancer,CHD5,
E_01_0101,chr4,7751333,7753333,Enhancer,lung | A549 cell,Non small cell lung cancer,AFAP1-AS1,
E_01_0102,chr9,81580729,81582729,Enhancer,,Synovial sarcoma,,TLE1
E_01_0103,chr10,102103573,102105573,Enhancer,blood | erythrocyte,,LDB1,
E_01_0104,chr7,148804482,148806482,Enhancer,,epilepsy,,EZH2
E_01_0105,chr2,60447611,60449611,Enhancer,"Kidney, peripheral blood, bone marrow | HEK293T cell， KU812 cell，KG-1 cell",β- Thalassemia disorders,BCL11A,
E_01_0106,chr3,12284215,12286215,Enhancer,,Traumatic sepsis,,PPARG
E_01_0107,chr11,100684149,100686149,Enhancer,"Aortic smooth muscle, bronchial smooth muscle | HUAOSMC cell，HUBRSMC cell",Blood pressure regulation,ARHGAP42,
E_01_0108,chr7,148804829,148806829,Enhancer,bone marrow | bone marrow cell,Pediatric myelodysplastic syndrome,,EZH2
E_01_0109,chr19,15232668,15234668,Enhancer,lymph | JVM-2 cell，MINO cell，Z138 cell，KPUM-YY1 cell,Mantle cell lymphoma,,BRD4
E_01_0110,chr1,153659104,153661104,Enhancer,"Kidney, peripheral blood | HEK293T cell、Vero cell、RD cell，thp-1 cell",antiviral,ILF2,
E_01_0111,chr7,148804551,148806551,Enhancer,colon | HCT116 cell,tumour,,EZH2
E_01_0112,chr20,59860441,59862441,Enhancer,lymph | Lymphoblast,,SYCP2,
E_01_0113,chr7,44101569,44103569,Enhancer,brain | U87MG cell，U251 MG cell,Gliomas,AEBP1,
E_01_0114,chr9,36570240,36572240,Enhancer,bile duct | iCCA cell,Intrahepatic cholangiocarcinoma,MELK,
E_01_0115,chr4,52709533,52711533,Enhancer,breast | breast cancer cells，mammary gland epithelial cell,mammary cancer,DANCR,
E_01_0116,chr15,42735912,42737912,Enhancer,brain | A172 cell，U251 cell，astrocyte cell,Gliomas,,TTBK2
E_01_0117,chr20,50188118,50190118,Enhancer,,Cardiogenic and septic shock,,CEBPB
E_01_0118,chr19,1606379,1608379,Enhancer,bone marrow | HPC-7 cell,,,TCF7L1
E_01_0120,chr18,55219904,55221904,Enhancer,breast | MCF-7 cell，MDA-MB-231 cell,mammary cancer,,TCF4
E_01_0121,chr7,148804648,148806648,Enhancer,,Endometrial cancer,,EZH2
E_01_0122,chr1,145918614,145920614,Enhancer,,"Thrombocytopenia, radial hypoplasia",RBM8A,
E_01_0123,chr7,148804596,148806596,Enhancer,"Cervix, lymph, kidney | Hela cell，DB cell，Pfeiffer cell，293T Cell",cancer,,EZH2
E_01_0124,chrX,113613674,113615674,Enhancer,embryo | embryonic stem cell,,XACT,
E_01_0125,chr14,37586693,37588693,Enhancer,breast | MCF7L cell，T47D cell，600MPE cell,mammary cancer,,FOXA1
E_01_0126,chr20,64045290,64047290,Enhancer,ovary | FT246，FT282，FT318，CaOV3，COV318，EFO21，Kuramochi，FUOV1，OAW28，OV177，OVSAHO，TykNu，UWB1.289 cell,oophoroma,,SOX18
E_01_0127,chr7,148804439,148806439,Enhancer,breast | MDA-MB-231，MDA-MB-468，BT549,cancer,,EZH2
E_01_0128,chr1,115283204,115285204,Enhancer,ovary | HOSE cell，A2780 cell，SKOV3 cell，OV90 cell，NIH-OVCAR3 cell,Epithelial ovarian cancer,NGF,
E_01_0129,chr5,151027281,151029281,Enhancer,Peripheral blood | Jurkat cell，THP-1cell,Systemic lupus erythematosus,,TNIP1
E_01_0130,chr12,53959218,53961218,Enhancer,bone marrow | Myeloma cell,Myeloma,,HOTAIR
E_01_0131,chr18,26013138,26015138,Enhancer,Synovial sarcoma | HEK293T LentiX cell,Synovial sarcoma (SS),SS18,
E_01_0131,chr18,26013138,26015138,Enhancer,Synovial sarcoma | HEK293T LentiX cell,Synovial sarcoma (SS),SMARCB1,
E_01_0132,chr1,11009935,11011935,Enhancer,Nervous | SH-SY5Y neuroblastoma cell,Amyotrophic lateral sclerosis (ALS),TARDBP,
E_01_0133,chr4,153777966,153779966,Enhancer,Human colorectal carcinoma cell,Colorectal cancer,SFRP2,
E_01_0134,chr10,112947720,112949720,Enhancer,K562 cell,Chronic Myelogenous Leukemia,,TCF7L2
E_01_0135,chr12,56749082,56751082,Enhancer,HCC cell,Hepatocellular carcinoma,HSD17B6,
E_01_0136,chr11,120233455,120235455,Enhancer,SCLC cell,Small cell lung cancer (SCLC),,POU2F3
E_01_0136,chr11,120233455,120235455,Enhancer,SCLC cell,Small cell lung cancer (SCLC),,ASCL1
E_01_0136,chr11,120233455,120235455,Enhancer,SCLC cell,Small cell lung cancer (SCLC),,NEUROD1
E_01_0136,chr11,120233455,120235455,Enhancer,SCLC cell,Small cell lung cancer (SCLC),,INSM1
E_01_0137,chr5,173229639,173231639,Enhancer,Vascular | smooth muscle cell of the pulmonary artery,scleroderma associated pulmonary hypertensio,,NKX2-5
E_01_0138,chr11,12671903,12673903,Enhancer,Vascular | smooth muscle cell of the pulmonary artery,scleroderma associated pulmonary hypertensio,,TEAD1
E_01_0139,chr17,42310573,42312573,Enhancer,,,,STAT3
E_01_0140,chr12,54030375,54032375,Enhancer,Somatic | somatic cell,Tumor,,HOXC5
E_01_0141,chr19,19143043,19145043,Enhancer,Lymphoid | B cell,Lymphomas,MEF2B,
E_01_0142,chr17,43751254,43753254,Enhancer,Bone | Germinal center B-cells,osteoporosis,SOST,
E_01_0143,chr14,100892224,100894224,Enhancer,A549 cell， LC-2/ad cell，Panc1 cell,Lung and pancreatic cancer,MEG8,
E_01_0144,chr12,55740444,55742444,Enhancer,Mouse leukemic monocyte macrophages,Psoriasiform skin inflammation,,GDF11
E_01_0145,chr8,127077409,127079409,Enhancer,"A549 cell, SK-MES-1 cell, Calu-3 cell，H1299 cell，NHBE cell",Non small cell lung cancer,PRNCR1,HEY2
E_01_0146,chr16,67559907,67561907,Enhancer,blood | K562 cell,,,CTCF
E_01_0147,chr9,21074270,21076270,Enhancer,uterus | HeLa cell,,,IFNB1
E_01_0148,chr7,99754049,99756049,Enhancer,HepG2 cell,,CYP3A4,
E_01_0149,chr1,156460952,156462952,Enhancer,"T, B, NK cell",,MEF2D,
E_01_0150,chr11,65494664,65496664,Enhancer,Primary endothelial cell,,,MALAT1
E_01_0151,chr3,133743314,133745314,Enhancer,,,TF,
E_01_0151,chr3,133743314,133745314,Enhancer,,,LHX6,
E_01_0151,chr3,133743314,133745314,Enhancer,,,LHX8,
E_01_0152,chr14,21495511,21497511,Enhancer,Bone marrow stem cell,,METTL3,
E_01_0153,chr2,226728889,226730889,Enhancer,HeLa cell,,IRS1,
E_01_0154,chr17,66299977,66301977,Enhancer,non-cardiac cell,,PRKCA,
E_01_0155,chr3,181709448,181711448,Enhancer,lung | Lung squamous cell,,,SOX2
E_01_0156,chr21,33540351,33542351,Enhancer,,,SON,
E_01_0157,chr14,21495467,21497467,Enhancer,Bone marrow stem cell,,METTL3,
E_01_0158,chr2,226728284,226730284,Enhancer,HeLa cell,,IRS1,
E_01_0159,chr16,71843198,71845198,Enhancer,connective | macrophage,,IST1,
E_01_0160,chr7,44101654,44103654,Enhancer,Epithelial | colon cancer cell,,AEBP1,
E_01_0161,chr7,148805028,148807028,Enhancer,connective | gastric cancer cell,Colon cancer,,EZH2
E_01_0162,chr13,27958003,27960003,Enhancer,Colon | intestinal cell,,,CDX2
E_01_0163,chr12,49973763,49975763,Enhancer,connective | cancer cell,,,RACGAP1
E_01_0164,chr19,4171371,4173371,Enhancer,connective | stem cell,,SIRT6,
E_01_0165,chr20,56626718,56628718,Enhancer,connective | breast cancer cell,mammary cancer,,TFAP2C
E_01_0166,chr7,148804377,148806377,Enhancer,connective | tumor cell,tumour,,EZH2
E_01_0167,chrX,137563628,137565628,Enhancer,connective | embryonic stem cell,,ZIC3,
E_01_0168,chr1,205594870,205596870,Enhancer,connective | cancer cell,cancer,,ELK4
E_01_0169,chr20,22578327,22580327,Enhancer,connective | Lung cancer cell,lung cancer,,FOXA2
E_01_0170,chr6,31161443,31163443,Enhancer,connective | stem cell,,,POU5F1
E_01_0171,chr11,65495199,65497199,Enhancer,connective | Gallbladder cancer cell,Gallbladder cancer,,MALAT1
E_01_0172,chr7,148803892,148805892,Enhancer,connective | Glioma cell,Gliomas,,EZH2
E_01_0173,chr16,67559426,67561426,Enhancer,epithelial cells | glial cell,,,CTCF
E_01_0174,chr7,148804276,148806276,Enhancer,Myotome | smooth muscle cell,,,EZH2
E_01_0175,chr7,148804085,148806085,Enhancer,connective | colon cancer cell,Colon cancer,,EZH2
E_01_0176,chr11,69767717,69769717,Enhancer,connective | tumor cell,tumour,FGF4,
E_01_0177,chr18,55219304,55221304,Enhancer,connective | neural cell,,,TCF4
E_01_0178,chr20,22578226,22580226,Enhancer,connective | cancer cell,,,FOXA2
E_01_0179,chr16,67559749,67561749,Enhancer,connective,,,CTCF
E_01_0180,chr11,2126891,2128891,Enhancer,connective | neural cell,,IGF2,
E_01_0181,chrX,153441659,153443659,Enhancer,connective | laryngeal carcinoma cell,,TREX2,
E_01_0182,chr12,117450290,117452290,Enhancer,liver | HCC cell,liver cancer,KSR2,
E_01_0183,chr7,148804304,148806304,Enhancer,connective | Cancer Stem Cell,cancer,,EZH2
E_01_0184,chr20,13993019,13995019,Enhancer,,Split hand / foot malformation,MACROD2,
E_01_0184,chr20,13993019,13995019,Enhancer,,Split hand / foot malformation,KIF16B,
E_01_0185,chr7,148804620,148806620,Enhancer,intestines | colon cancer cell,Colon cancer,,EZH2
E_01_0186,chr7,148804304,148806304,Enhancer,breast | breast cancer cell,mammary cancer,,EZH2
E_01_0187,chr15,90963083,90965083,Enhancer,bone marrow | Myeloma cell,Myeloma,PRC1,
E_01_0188,chr17,72118178,72120178,Enhancer,breast | breast cancer cell,mammary cancer,,SOX9
E_01_0189,chr20,44582166,44584166,Enhancer,connective,,ADA,
E_01_0190,chr11,1155000,1157000,Enhancer,Epithelial | epithelial cell,airway inflammation,MUC5AC,
E_01_0191,chr20,40683274,40685274,Enhancer,blood | B cell,diabetes,DEXI,MAFB
E_01_0191,chr20,40683274,40685274,Enhancer,blood | B cell,diabetes,DEXI,SOCS1
E_01_0192,chr11,69983276,69985276,Enhancer,"Stomach, gut | GIST-T1 cell",Gastrointestinal stromal tumors,,ANO1
E_01_0193,chr17,50181276,50183276,Enhancer,Epithelial | endothelial cell,inflammation,,COL1A1
E_01_0194,chr18,55219450,55221450,Enhancer,bone | osteosarcoma cell,Osteosarcoma,MYO10,TCF4
E_01_0195,chrX,154007840,154009840,Enhancer,blood | B cell,inflammation,IRAK1,
E_01_0195,chrX,154007840,154009840,Enhancer,blood | B cell,inflammation,IRAK4,
E_01_0196,chr2,237482764,237484764,Enhancer,prostate | prostate cancer cell,prostatic cancer,MLPH,
E_01_0197,chr11,128455802,128457802,Enhancer,blood | T cell,Systemic lupus erythematosus,TLR7,ETS1
E_01_0197,chr11,128455802,128457802,Enhancer,blood | T cell,Systemic lupus erythematosus,TLR7,FOXP3
E_01_0197,chr11,128455802,128457802,Enhancer,blood | T cell,Systemic lupus erythematosus,TLR7,TNIP1
E_01_0197,chr11,128455802,128457802,Enhancer,blood | T cell,Systemic lupus erythematosus,TLR7,IRF5
E_01_0197,chr11,128455802,128457802,Enhancer,blood | T cell,Systemic lupus erythematosus,TNPO3,ETS1
E_01_0197,chr11,128455802,128457802,Enhancer,blood | T cell,Systemic lupus erythematosus,TNPO3,FOXP3
E_01_0197,chr11,128455802,128457802,Enhancer,blood | T cell,Systemic lupus erythematosus,TNPO3,TNIP1
E_01_0197,chr11,128455802,128457802,Enhancer,blood | T cell,Systemic lupus erythematosus,TNPO3,IRF5
E_01_0198,chr8,11673920,11675920,Enhancer,connective | stem cell,cancer,,GATA4
E_01_0198,chr8,11673920,11675920,Enhancer,connective | stem cell,cancer,,NKX2-5
E_01_0198,chr8,11673920,11675920,Enhancer,connective | stem cell,cancer,,MEF2A
E_01_0199,chr7,148804156,148806156,Enhancer,bone | osteosarcoma cell,Osteosarcoma,FBP1,EZH2
E_01_0200,chr1,8001795,8003795,Enhancer,blood | myelogenous leukemia cell,leukemia,ERRFI1,
E_01_0201,chr2,47342302,47344302,Enhancer,connective | stromal macrophage cell,leukemia,,EPCAM
E_01_0203,chr16,28929347,28931347,Enhancer,blood | B cell,septicemia,CD19,
E_01_0204,chr4,184382613,184384613,Enhancer,colon | Human colorectal carcinoma cell,Colon cancer,,IRF2
E_01_0204,chr4,184382613,184384613,Enhancer,colon | Human colorectal carcinoma cell,Colon cancer,,ZMIZ1
E_01_0205,chr7,148804489,148806489,Enhancer,connective | mesenchymal stem cell,,,EZH2
E_01_0206,chr16,68734197,68736197,Enhancer,blood,tumour,,CDH1
E_01_0207,chr10,67881712,67883712,Enhancer,Epithelial | epithelial cell,,,SIRT1
E_01_0208,chr5,70046788,70048788,Enhancer,Epithelial | HEK293T,Spinal muscular atrophy,SMN2,
E_01_0209,chr4,110614447,110616447,Enhancer,connective | embryonic stem cell,Atrial fibrillation,,PITX2
E_01_0211,chr6,84684753,84686753,Enhancer,Musculature | smooth muscle cell,,,TBX18
E_01_0212,chr1,23017098,23019098,Enhancer,connective | melanoma cells,Desmosomas,,KDM1A
E_01_0213,chr2,209421458,209423458,Enhancer,connective | pluripotent stem cell,,MAP2,ROR2
E_01_0213,chr2,209421458,209423458,Enhancer,connective | pluripotent stem cell,,MAP2,POU5F1
E_01_0213,chr2,209421458,209423458,Enhancer,connective | pluripotent stem cell,,NANOG,ROR2
E_01_0213,chr2,209421458,209423458,Enhancer,connective | pluripotent stem cell,,NANOG,POU5F1
E_01_0213,chr2,209421458,209423458,Enhancer,connective | pluripotent stem cell,,ATF3,ROR2
E_01_0213,chr2,209421458,209423458,Enhancer,connective | pluripotent stem cell,,ATF3,POU5F1
E_01_0214,chrX,47632617,47634617,Enhancer,liver | hepatocyte,Obesity,,KCNH4
E_01_0215,chr1,35867480,35869480,Enhancer,liver | HepG2 cell,cancer,AGO1,
E_01_0217,chr1,998360,1000360,Enhancer,blood | B cell,influenza,ISG15,
E_01_0218,chr3,101825749,101827749,Enhancer,blood | B cell,Psoriasis,NFKBIZ,
E_01_0219,chr12,6531600,6533600,Enhancer,liver | hepatic stellate cell,,Gapdh,GAPDH
E_01_0220,chr17,42310525,42312525,Enhancer,liver | HCC cell,liver cancer,,STAT3
E_01_0221,chr4,147635062,147637062,Enhancer,lung | NSCLC cell,tumour,PRMT9,
E_01_0222,chr7,148804718,148806718,Enhancer,blood | leukemic cell,leukemia,,EZH2
